Name,Gender,Institution,Category,Subcategory,h-index,Year
Kathryn Mohror,Female,Lawrence Livermore National Laboratory,National Lab,,29,2019
Brad Ramshaw,Male,Cornell University,University,Ivy League,37,2019
Cindy Rubio Gonzalez,Female,"University of California, Davis",University,Other,20,2019
Ashkan Salamat,Unknown,University of Nevada,University,Other,26,2019
Catherine Schuman,Female,Oak Ridge National Laboratory (ORNL),National Lab,,33,2019
Michael D. Shields,Male,Johns Hopkins University,University,Private,29,2019
Kevin Solomon,Male,Purdue University,University,Other,22,2019
Peter Sorensen,Male,Lawrence Berkeley National Laboratory,National Lab,,74,2019
James Stegen,Male,Pacific Northwest National Laboratory,National Lab,,50,2019
Timothy Stoltzfus-Dueck,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A,2019
Elijah Thimsen,Male,Washington University,University,Other,28,2019
Jeff Thompson,Male,Princeton University,University,Ivy League,31,2019
Ian A. Tonks,Male,University of Minnesota,University,State/Public,28,2019
Nhan V. Tran,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,10,2019
Ahmet Uysal,Male,Argonne National Laboratory (ANL),National Lab,,21,2019
Charuleka Varadharajan,Unknown,Lawrence Berkeley National Laboratory,National Lab,,26,2019
David Vinyard,Male,Louisiana State University and A&M College,University,Other,31,2019
Bin Wang,Unknown,University of Oklahoma,University,Other,162,2019
Yangyang Wang,Unknown,Oak Ridge National Laboratory,National Lab,,37,2019
Sarah J. Watzman,Female,University of Cincinnati,University,Other,N/A,2019
Janelle P. Wharry,Female,Purdue University,University,Other,N/A,2019
Jingke Xu,Unknown,Lawrence Livermore National Laboratory,National Lab,,54,2019
Xingchen Xu,Unknown,Fermi National Accelerator Laboratory (FNAL),National Lab,,4,2019
Qimin Yan,Unknown,Temple University,University,Other,41,2019
Andriy Zakutayev,Male,National Renewable Energy Laboratory (NREL),National Lab,,59,2019
Ilija Zeljkovic,Male,Boston College,University,Other,27,2019
Kandis Leslie Gilliard-Abdul Aziz,Unknown,"University of California, Riverside",University,Other,N/A,2023
Philip Adsley,Male,Texas A&M University,University,Other,18,2023
Chibueze Amanchukwu,Unknown,The University of Chicago,University,Private,20,2023
Bahar Asgari,Female,"University of Maryland, College Park",University,State/Public,13,2023
Sam Barber,Male,Lawrence Berkeley National Laboratory,National Lab,,23,2023
Mathew R. Becker,Male,Argonne National Laboratory,National Lab,,N/A,2023
Julie Bessac,Female,Statistician National Renewable Energy,Unknown,,12,2023
Christian Boutan,Male,Pacific Northwest National Laboratory,National Lab,,13,2023
Mathew Brahlek,Male,Oak Ridge National Laboratory,National Lab,,N/A,2023
James Daniel Brandenburg,Male,Ohio State University,University,State/Public,54,2023
Jennifer Brophy,Female,"Stanford, CA",Unknown,,14,2023
Elizabeth Brost,Female,Brookhaven National,Unknown,,N/A,2023
Lucas Brouwer,Male,Lawrence Berkeley National Laboratory,National Lab,,20,2023
Steven Brus,Male,Argonne National Laboratory,National Lab,,38,2023
Jonathan D. Burns,Male,University of Alabama at Birmingham,University,Other,13,2023
John F. Cahill,Male,Oak Ridge National Laboratory,National Lab,,19,2023
Yue Cao,Unknown,Argonne National Laboratory,National Lab,,50,2023
Lane Carasik,Male,"University Richmond, Virginia",University,Other,5,2023
Korey P. Carter,Male,University of Iowa,University,Other,N/A,2023
Daniel Casey,Male,Lawrence Livermore National Laboratory (LLNL),National Lab,,29,2023
Tirthankar Chakraborty,Unknown,Atmospheric Sciences and Global Change,Unknown,,21,2023
Fanglin Che,Unknown,University of Massachusetts Lowell,University,Other,28,2023
Martin Claassen,Male,Astronomy University of Pennsylvania,University,Ivy League,24,2023
Kensha Marie Clark,Unknown,University of Mississippi,University,Other,N/A,2023
Laura de Sousa Oliveira,Female,University of Wyoming,University,Other,9,2023
Gauthier J.-P. Deblonde,Male,Lawrence Livermore National Laboratory,National Lab,,N/A,2023
Maria Laura di Vacri,Female,Pacific Northwest National Laboratory,National Lab,,N/A,2023
Leah G. Dodson,Female,Biochemistry University of Maryland,University,Other,9,2023
Dong,Unknown,"University of Oklahoma,",University,Other,222,2023
Chuanfei Dong,Unknown,Boston University,University,Other,39,2023
Leora Dresselhaus-Marais,Female,Stanford University,University,Private,12,2023
Vinicius Duarte,Male,Princeton Plasma Physics Laboratory,National Lab,,21,2023
Guillaume Duclos,Male,Physics Brandeis University,University,Other,16,2023
Eugene Dumitrescu,Male,Computational Science and Engineering,Unknown,,21,2023
Raghav Kunnawalkam Elayavalli,Unknown,Vanderbilt University,University,Other,N/A,2023
Claudio Emma,Male,Advanced Accelerator Research,Unknown,,19,2023
Guillermo Fernandez Moroni,Male,Fermi National Accelerator Laboratory,National Lab,,N/A,2023
Rich Fiorella,Male,Los Alamos National Laboratory,National Lab,,14,2023
Holly B. Flynn,Female,Savannah River National,Unknown,,N/A,2023
Fereshte Ghahari Kermani,Unknown,George Mason University,University,Other,N/A,2023
Nikolay Golubev,Male,University of Arizona,University,Other,14,2023
Laura Gunn,Female,"School of Integrative Plant Sciences, Plant Biology",Unknown,,21,2023
Shabnam Hematian,Unknown,University of North Carolina at Greensboro,University,Other,10,2023
Robert Hovden,Male,University of Michigan,University,State/Public,44,2023
Ezio Iacocca,Male,Science University of Colorado Colorado,University,Other,29,2023
Lise-Marie Imbert-Gerard,Unknown,"Arizona Board of Regents, University of Arizona",University,Other,10,2023
Nicholas Jackson,Male,"University of Illinois, Urbana-Champaign",University,Other,40,2023
Jing Li,Unknown,New Jersey Institute of,Unknown,,117,2023
Julia Kalow,Female,Chemistry Northwestern,Unknown,,27,2023
Brendan Keith,Male,Brown University,University,Ivy League,29,2023
Takaaki Koyanagi,Male,Oak Ridge National Laboratory,National Lab,,35,2023
Benjamin A. Legg,Male,Pacific Northwest National Laboratory,National Lab,,18,2023
Wenjing Liao,Unknown,Georgia Institute of Technology,Unknown,,18,2023
Kun Liu,Unknown,Los Alamos National Laboratory (LANL),National Lab,,156,2023
Andrey Lokhov,Male,Los Alamos National Laboratory,National Lab,,19,2023
Dan Lu,Male,Oak Ridge National Laboratory,National Lab,,86,2023
Niall Mangan,Male,Mathematics Northwestern University,University,Private,19,2023
Chris Marshall,Male,University of Rochester,University,Other,60,2023
C. Michael McGuirk,Unknown,Mines,Unknown,,20,2023
James McIver,Male,Physics Columbia University,University,Ivy League,18,2023
Bernhard Mistlberger,Male,SLAC National Accelerator Laboratory,National Lab,,37,2023
Julia Moriarty,Female,University of Colorado Boulder,University,Other,11,2023
Johanna Nelson Weker,Female,Lightsource SLAC National Accelerator,Unknown,,37,2023
Hyunseok Oh,Unknown,University of Wisconsin-Madison,University,State/Public,20,2023
Elizabeth Paul,Female,Columbia University,University,Ivy League,15,2023
Adam Printz,Male,University of Arizona,University,Other,26,2023
Jin Qian,Female,Lawrence Berkeley National Laboratory,National Lab,,34,2023
Felix Ringer,Male,Old Dominion University,University,Other,37,2023
Annette Rowe,Female,"Cincinnati Cincinnati,",Unknown,,21,2023
Derek Schaeffer,Male,"Astronomy University of California, Los",University,Other,20,2023
Arunima Singh,Unknown,Arizona State University,University,Other,24,2023
Hillary Smith,Female,Astronomy Swarthmore College,University,Other,35,2023
Erin Stache,Female,Princeton University,University,Ivy League,12,2023
Mathew A. Steiner,Male,Engineering University of Cincinnati,University,Other,13,2023
Esther Tsai,Female,"Laboratory Upton, NY",Unknown,,20,2023
Omar Valsson,Male,University of North Texas,University,Other,21,2023
Ying Wang,Unknown,University of Wisconsin-Madison,University,State/Public,78,2023
Cory Windorff,Male,Biochemistry New Mexico State University,University,Other,19,2023
Derong Xu,Unknown,Brookhaven National Laboratory,National Lab,,12,2023
Da Yan,Unknown,University of Alabama at,University,Other,282,2023
Joanna M Zajac,Female,Brookhaven National Laboratory,National Lab,,10,2023
Yu Zhang,Unknown,Los Alamos National Laboratory,National Lab,,109,2023
Youtong Zheng,Unknown,"Boston College,",University,Other,18,2023
Brian Zhou,Male,"Boston College,",University,Other,16,2023
Silvia Zorzeti,Female,Fermi National Accelerator Laboratory,National Lab,,11,2023
Michael Zuerch,Male,"University of California, Berkeley",University,State/Public,112,2023
Daniel Bardayan,Male,Oak Ridge National Laboratory,National Lab,,38,2010
Christian Bauer,Male,Lawrence Berkeley National Laboratory,National Lab,,50,2010
Ivan Bazarov,Male,Cornell University,University,Ivy League,37,2010
Philip Bingham,Male,Oak Ridge National Laboratory,National Lab,,17,2010
Stanislav Boldyrev,Male,University of Wisconsin,University,Other,N/A,2010
Grigory Bronevetsky,Male,Lawrence Livermore National Laboratory,National Lab,,N/A,2010
Martin Centurion,Male,University of Nebraska,University,Other,32,2010
Patrick Yin Chiang,Male,Oregon State University,University,Other,N/A,2010
