Name,Gender,h-index,Institution,Category,Subcategory,Zipcode,Program Area,Year
Catherine Schuman,Female,33,Oak Ridge National Laboratory (ORNL),National Lab,,37831,Advanced Scientific Computing Research,2019
Michael D. Shields,Male,30,Johns Hopkins University,University,Private,21218,Advanced Scientific Computing Research,2019
Kevin Solomon,Male,22,Purdue University,University,Other,47907,Advanced Scientific Computing Research,2019
Peter Sorensen,Male,53,Lawrence Berkeley National Laboratory,National Lab,,94720,High Energy Physics,2019
James Stegen,Male,50,Pacific Northwest National Laboratory,National Lab,,99352,High Energy Physics,2019
Timothy Stoltzfus-Dueck,Male,N/A,Princeton Plasma Physics Laboratory,National Lab,,08543,Biological and Environmental Research,2019
Elijah Thimsen,Male,28,Washington University,University,Other,63130,Fusion Energy Sciences,2019
Jeff Thompson,Male,31,Princeton University,University,Ivy League,08544,Fusion Energy Sciences,2019
Ian A. Tonks,Male,29,University of Minnesota,University,State/Public,55455,Basic Energy Sciences,2019
Nhan V. Tran,Male,10,Fermi National Accelerator Laboratory (FNAL),National Lab,,60510,Basic Energy Sciences,2019
Ahmet Uysal,Male,22,Argonne National Laboratory (ANL),National Lab,,60439,High Energy Physics,2019
Charuleka Varadharajan,Unknown,27,Lawrence Berkeley National Laboratory,National Lab,,94720,Basic Energy Sciences,2019
David Vinyard,Male,31,Louisiana State University and A&M College,University,Other,70803,Biological and Environmental Research,2019
Bin Wang,Unknown,164,University of Oklahoma,University,Other,73019,Basic Energy Sciences,2019
Yangyang Wang,Unknown,37,Oak Ridge National Laboratory,National Lab,,37831,Basic Energy Sciences,2019
Sarah J. Watzman,Female,N/A,University of Cincinnati,University,Other,45221,Basic Energy Sciences,2019
Janelle P. Wharry,Female,N/A,Purdue University,University,Other,47907,Basic Energy Sciences,2019
Jingke Xu,Unknown,55,Lawrence Livermore National Laboratory,National Lab,,94550,Basic Energy Sciences,2019
Xingchen Xu,Unknown,4,Fermi National Accelerator Laboratory (FNAL),National Lab,,60510,High Energy Physics,2019
Qimin Yan,Unknown,41,Temple University,University,Other,19122,High Energy Physics,2019
Andriy Zakutayev,Male,59,National Renewable Energy Laboratory (NREL),National Lab,,80401,Basic Energy Sciences,2019
Ilija Zeljkovic,Male,29,Boston College,University,Other,02467,Basic Energy Sciences,2019
Kandis Leslie Gilliard-Abdul Aziz,Unknown,N/A,"University of California, Riverside",University,Other,92507,Basic Energy Sciences,2023
Philip Adsley,Male,19,Texas A&M University,University,Other,77840,Nuclear Physics,2023
Chibueze Amanchukwu,Unknown,20,The University of Chicago,University,Private,60637,Nuclear Physics,2023
Bahar Asgari,Female,14,"University of Maryland, College Park",University,State/Public,20742,Basic Energy Sciences,2023
Sam Barber,Male,23,Lawrence Berkeley National Laboratory,National Lab,,94720,Advanced Scientific Computing Research,2023
Mathew R. Becker,Male,N/A,Argonne National Laboratory,National Lab,,60439,High Energy Physics,2023
Julie Bessac,Female,12,Statistician National Renewable Energy,Unknown,,80401,High Energy Physics,2023
Christian Boutan,Male,13,Pacific Northwest National Laboratory,National Lab,,99352,Advanced Scientific Computing Research,2023
Mathew Brahlek,Male,N/A,Oak Ridge National Laboratory,National Lab,,37830,High Energy Physics,2023
James Daniel Brandenburg,Male,55,Ohio State University,University,State/Public,43210,Basic Energy Sciences,2023
Jennifer Brophy,Female,14,"Stanford, CA",Unknown,,94305,Nuclear Physics,2023
Elizabeth Brost,Female,N/A,Brookhaven National,Unknown,,11973,Biological and Environmental Research,2023
Lucas Brouwer,Male,21,Lawrence Berkeley National Laboratory,National Lab,,94720,High Energy Physics,2023
Steven Brus,Male,39,Argonne National Laboratory,National Lab,,60439,High Energy Physics,2023
Jonathan D. Burns,Male,14,University of Alabama at Birmingham,University,Other,35294,Biological and Environmental Research,2023
John F. Cahill,Male,19,Oak Ridge National Laboratory,National Lab,,37831,Isotope R&D and Production,2023
Yue Cao,Unknown,51,Argonne National Laboratory,National Lab,,60439,Biological and Environmental Research,2023
Lane Carasik,Male,6,"University Richmond, Virginia",University,Other,23284,Fusion Energy Sciences,2023
Korey P. Carter,Male,N/A,University of Iowa,University,Other,52242,Fusion Energy Sciences,2023
Daniel Casey,Male,29,Lawrence Livermore National Laboratory (LLNL),National Lab,,94550,Basic Energy Sciences,2023
Tirthankar Chakraborty,Unknown,22,Atmospheric Sciences and Global Change,Unknown,,99354,Fusion Energy Sciences,2023
Fanglin Che,Unknown,24,University of Massachusetts Lowell,University,Other,01854,Biological and Environmental Research,2023
Martin Claassen,Male,25,Astronomy University of Pennsylvania,University,Ivy League,19104,Basic Energy Sciences,2023
Kensha Marie Clark,Unknown,N/A,University of Mississippi,University,Other,38677,Basic Energy Sciences,2023
Laura de Sousa Oliveira,Female,9,University of Wyoming,University,Other,82071,High Energy Physics,2023
Gauthier J.-P. Deblonde,Male,N/A,Lawrence Livermore National Laboratory,National Lab,,94550,Basic Energy Sciences,2023
Maria Laura di Vacri,Female,N/A,Pacific Northwest National Laboratory,National Lab,,99352,Nuclear Physics,2023
Leah G. Dodson,Female,9,Biochemistry University of Maryland,University,Other,20742,Nuclear Physics,2023
Dong,Unknown,224,"University of Oklahoma,",University,Other,73019,Basic Energy Sciences,2023
Chuanfei Dong,Unknown,40,Boston University,University,Other,02215,Basic Energy Sciences,2023
Leora Dresselhaus-Marais,Female,12,Stanford University,University,Private,94305,Fusion Energy Sciences,2023
Vinicius Duarte,Male,50,Princeton Plasma Physics Laboratory,National Lab,,08540,Basic Energy Sciences,2023
Guillaume Duclos,Male,16,Physics Brandeis University,University,Other,02453,Fusion Energy Sciences,2023
Eugene Dumitrescu,Male,22,Computational Science and Engineering,Unknown,,37831,Basic Energy Sciences,2023
Raghav Kunnawalkam Elayavalli,Unknown,N/A,Vanderbilt University,University,Other,37240,Advanced Scientific Computing Research,2023
Claudio Emma,Male,19,Advanced Accelerator Research,Unknown,,94025,Nuclear Physics,2023
Guillermo Fernandez Moroni,Male,N/A,Fermi National Accelerator Laboratory,National Lab,,60510,High Energy Physics,2023
Rich Fiorella,Male,14,Los Alamos National Laboratory,National Lab,,87544,High Energy Physics,2023
Holly B. Flynn,Female,N/A,Savannah River National,Unknown,,29808,Biological and Environmental Research,2023
Fereshte Ghahari Kermani,Unknown,N/A,George Mason University,University,Other,22030,Fusion Energy Sciences,2023
Nikolay Golubev,Male,14,University of Arizona,University,Other,85721,Basic Energy Sciences,2023
Laura Gunn,Female,21,"School of Integrative Plant Sciences, Plant Biology",Unknown,,14853,Basic Energy Sciences,2023
Shabnam Hematian,Unknown,10,University of North Carolina at Greensboro,University,Other,27402,Basic Energy Sciences,2023
Robert Hovden,Male,45,University of Michigan,University,State/Public,48109,Basic Energy Sciences,2023
Ezio Iacocca,Male,28,Science University of Colorado Colorado,University,Other,80918,Basic Energy Sciences,2023
Lise-Marie Imbert-Gerard,Unknown,11,"Arizona Board of Regents, University of Arizona",University,Other,85721,Basic Energy Sciences,2023
Nicholas Jackson,Male,41,"University of Illinois, Urbana-Champaign",University,Other,61801,Basic Energy Sciences,2023
Jing Li,Unknown,118,New Jersey Institute of,Unknown,,07102,Basic Energy Sciences,2023
Julia Kalow,Female,28,Chemistry Northwestern,Unknown,,60201,Basic Energy Sciences,2023
Brendan Keith,Male,29,Brown University,University,Ivy League,02912,Basic Energy Sciences,2023
Takaaki Koyanagi,Male,35,Oak Ridge National Laboratory,National Lab,,37831,Advanced Scientific Computing Research,2023
Benjamin A. Legg,Male,18,Pacific Northwest National Laboratory,National Lab,,99352,Fusion Energy Sciences,2023
Wenjing Liao,Unknown,18,Georgia Institute of Technology,Unknown,,30332,Basic Energy Sciences,2023
Kun Liu,Unknown,158,Los Alamos National Laboratory (LANL),National Lab,,87545,Nuclear Physics,2023
Andrey Lokhov,Male,19,Los Alamos National Laboratory,National Lab,,87545,Advanced Scientific Computing Research,2023
Dan Lu,Male,86,Oak Ridge National Laboratory,National Lab,,37831,Advanced Scientific Computing Research,2023
Niall Mangan,Male,19,Mathematics Northwestern University,University,Private,60208,Biological and Environmental Research,2023
Chris Marshall,Male,61,University of Rochester,University,Other,14627,Advanced Scientific Computing Research,2023
C. Michael McGuirk,Unknown,20,Mines,Unknown,,80401,Basic Energy Sciences,2023
James McIver,Male,18,Physics Columbia University,University,Ivy League,10027,Basic Energy Sciences,2023
Bernhard Mistlberger,Male,37,SLAC National Accelerator Laboratory,National Lab,,94025,Basic Energy Sciences,2023
